example_id                                                               | status | run_time        |
./spec/lib/groupable/configuration_spec.rb[1:10:3:1]                     | passed | 0.00015 seconds |
./spec/lib/groupable/configuration_spec.rb[1:10:3:2]                     | passed | 0.00014 seconds |
./spec/lib/groupable/configuration_spec.rb[1:10:3:3]                     | passed | 0.00014 seconds |
./spec/lib/groupable/configuration_spec.rb[1:10:4:1]                     | passed | 0.00016 seconds |
./spec/lib/groupable/configuration_spec.rb[1:10:5:1]                     | passed | 0.00014 seconds |
./spec/models/concerns/groupable/custom_association_names_spec.rb[1:1:1] | passed | 0.00094 seconds |
./spec/models/concerns/groupable/custom_association_names_spec.rb[1:1:2] | passed | 0.00091 seconds |
./spec/models/concerns/groupable/custom_association_names_spec.rb[1:1:3] | passed | 0.00288 seconds |
./spec/models/concerns/groupable/custom_association_names_spec.rb[1:2:1] | passed | 0.00136 seconds |
./spec/models/concerns/groupable/custom_association_names_spec.rb[1:2:2] | passed | 0.00153 seconds |
./spec/models/concerns/groupable/custom_association_names_spec.rb[1:3:1] | passed | 0.00098 seconds |
./spec/models/concerns/groupable/custom_association_names_spec.rb[1:3:2] | passed | 0.00094 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:1:1]           | passed | 0.0004 seconds  |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:1:2]           | passed | 0.00037 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:1:3]           | passed | 0.00041 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:1:4]           | passed | 0.00039 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:2:1:1]         | passed | 0.00157 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:2:2:1]         | passed | 0.00085 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:3:1]           | passed | 0.00206 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:3:2]           | passed | 0.00164 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:3:3]           | passed | 0.0004 seconds  |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:3:4]           | passed | 0.00253 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:4:1]           | passed | 0.00163 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:4:2]           | passed | 0.00183 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:5:1]           | passed | 0.00329 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:6:1]           | passed | 0.00192 seconds |
./spec/models/concerns/groupable/group_behavior_spec.rb[1:6:2]           | passed | 0.00138 seconds |
./spec/models/concerns/groupable/member_behavior_spec.rb[1:1:1]          | passed | 0.00108 seconds |
./spec/models/concerns/groupable/member_behavior_spec.rb[1:1:2]          | passed | 0.00193 seconds |
./spec/models/concerns/groupable/member_behavior_spec.rb[1:2:1]          | passed | 0.00089 seconds |
./spec/models/concerns/groupable/member_behavior_spec.rb[1:2:2]          | passed | 0.00447 seconds |
./spec/models/concerns/groupable/member_behavior_spec.rb[1:3:1]          | passed | 0.00575 seconds |
./spec/models/concerns/groupable/member_behavior_spec.rb[1:3:2]          | passed | 0.00106 seconds |
./spec/models/concerns/groupable/member_behavior_spec.rb[1:3:3]          | passed | 0.00108 seconds |
./spec/models/concerns/groupable/user_groupable_spec.rb[1:1:1]           | passed | 0.00236 seconds |
./spec/models/concerns/groupable/user_groupable_spec.rb[1:1:2]           | passed | 0.02053 seconds |
./spec/models/concerns/groupable/user_groupable_spec.rb[1:1:3]           | passed | 0.00198 seconds |
./spec/models/concerns/groupable/user_groupable_spec.rb[1:1:4]           | passed | 0.00188 seconds |
./spec/models/concerns/groupable/user_groupable_spec.rb[1:1:5:1]         | passed | 0.00312 seconds |
./spec/models/groupable/group_spec.rb[1:1:1]                             | passed | 0.00018 seconds |
./spec/models/groupable/group_spec.rb[1:1:2]                             | passed | 0.00017 seconds |
./spec/models/groupable/group_spec.rb[1:1:3]                             | passed | 0.00017 seconds |
./spec/models/groupable/group_spec.rb[1:2:1]                             | passed | 0.00111 seconds |
./spec/models/groupable/group_spec.rb[1:2:2]                             | passed | 0.00095 seconds |
./spec/models/groupable/group_spec.rb[1:3:1]                             | passed | 0.00127 seconds |
./spec/models/groupable/group_spec.rb[1:3:2]                             | passed | 0.0015 seconds  |
./spec/models/groupable/group_spec.rb[1:4:1:1]                           | passed | 0.00192 seconds |
./spec/models/groupable/group_spec.rb[1:4:1:2]                           | passed | 0.00163 seconds |
./spec/models/groupable/group_spec.rb[1:4:2:1]                           | passed | 0.00044 seconds |
./spec/models/groupable/group_spec.rb[1:4:3:1]                           | passed | 0.00162 seconds |
./spec/models/groupable/group_spec.rb[1:5:1]                             | passed | 0.00135 seconds |
./spec/models/groupable/group_spec.rb[1:5:2]                             | passed | 0.00149 seconds |
./spec/models/groupable/group_spec.rb[1:6:1]                             | passed | 0.00288 seconds |
./spec/models/groupable/group_spec.rb[1:7:1]                             | passed | 0.00205 seconds |
./spec/models/groupable/group_spec.rb[1:7:2]                             | passed | 0.00138 seconds |
./spec/models/groupable/group_spec.rb[1:7:3]                             | passed | 0.00149 seconds |
./spec/models/groupable/group_spec.rb[1:8:1]                             | passed | 0.00376 seconds |
./spec/models/groupable/invite_spec.rb[1:1:1]                            | passed | 0.0002 seconds  |
./spec/models/groupable/invite_spec.rb[1:2:1]                            | passed | 0.00018 seconds |
./spec/models/groupable/invite_spec.rb[1:2:2]                            | passed | 0.00016 seconds |
./spec/models/groupable/invite_spec.rb[1:2:3]                            | passed | 0.00124 seconds |
./spec/models/groupable/invite_spec.rb[1:3:1]                            | passed | 0.00116 seconds |
./spec/models/groupable/invite_spec.rb[1:3:2]                            | passed | 0.00115 seconds |
./spec/models/groupable/invite_spec.rb[1:3:3]                            | passed | 0.00114 seconds |
./spec/models/groupable/invite_spec.rb[1:4:1]                            | passed | 0.00126 seconds |
./spec/models/groupable/invite_spec.rb[1:4:2:1]                          | passed | 0.00073 seconds |
./spec/models/groupable/invite_spec.rb[1:5:1]                            | passed | 0.00088 seconds |
./spec/models/groupable/invite_spec.rb[1:5:2]                            | passed | 0.00095 seconds |
./spec/models/groupable/member_spec.rb[1:1:1]                            | passed | 0.00017 seconds |
./spec/models/groupable/member_spec.rb[1:1:2]                            | passed | 0.00014 seconds |
./spec/models/groupable/member_spec.rb[1:2:1]                            | passed | 0.38164 seconds |
./spec/models/groupable/member_spec.rb[1:2:2]                            | passed | 0.00131 seconds |
./spec/models/groupable/member_spec.rb[1:2:3]                            | passed | 0.00215 seconds |
./spec/models/groupable/member_spec.rb[1:3:1]                            | passed | 0.00108 seconds |
./spec/models/groupable/member_spec.rb[1:3:2]                            | passed | 0.001 seconds   |
./spec/models/groupable/member_spec.rb[1:3:3]                            | passed | 0.00104 seconds |
./spec/models/groupable/member_spec.rb[1:3:4]                            | passed | 0.00366 seconds |
./spec/models/groupable/member_spec.rb[1:4:1]                            | passed | 0.00104 seconds |
./spec/models/groupable/member_spec.rb[1:4:2]                            | passed | 0.00112 seconds |
./spec/models/groupable/member_spec.rb[1:4:3]                            | passed | 0.00105 seconds |
./spec/models/groupable/workflow_spec.rb[1:1:1]                          | passed | 0.00487 seconds |
./spec/models/groupable/workflow_spec.rb[1:2:1]                          | passed | 0.00345 seconds |
./spec/models/groupable/workflow_spec.rb[1:3:1]                          | passed | 0.00415 seconds |
./spec/models/groupable/workflow_spec.rb[1:4:1]                          | passed | 0.00288 seconds |
